DateTime,Distance,Status
2022-09-14 18:15:04.350840,0,0
2022-09-14 18:15:14.351444,2704,1
2022-09-14 18:15:24.352441,40401,2
2022-09-14 18:15:34.352693,43264,0
2022-09-14 18:15:44.352957,42025,2
2022-09-14 18:15:54.353206,49284,0
2022-09-14 18:16:04.354446,46656,0
2022-09-14 18:16:14.354909,40401,2
2022-09-14 18:16:24.355431,51984,0
2022-09-14 18:16:34.355847,2704,1
2022-09-14 18:16:44.356574,40000,2
2022-09-14 18:16:54.357522,50176,0
2022-09-14 18:17:04.357597,49284,0
2022-09-14 18:17:14.358496,47524,0
2022-09-14 18:17:24.358501,46225,0
2022-09-14 18:17:34.359024,35344,2
2022-09-14 18:17:44.359532,35344,2
2022-09-14 18:17:54.360041,35344,2
2022-09-14 18:18:04.360731,5476,1
2022-09-14 18:18:14.361377,23716,1
2022-09-14 18:18:24.361569,45796,0
2022-09-14 18:18:34.362559,34596,2
2022-09-14 18:18:44.363541,35344,2
2022-09-14 18:18:54.363555,27556,2
2022-09-14 18:19:04.364552,23104,1
2022-09-14 18:19:14.364670,22801,1
2022-09-14 18:19:24.365119,23104,1
2022-09-14 18:19:34.365587,8100,1
2022-09-14 18:19:44.365725,24025,1
2022-09-14 18:19:54.365852,23716,1
2022-09-14 18:20:04.366792,24964,2
2022-09-14 18:20:14.366794,21904,1
2022-09-14 18:20:24.367618,2401,1
2022-09-14 18:20:34.368171,24025,1
2022-09-14 18:20:44.369155,22201,1
2022-09-14 18:20:54.370025,22801,1
2022-09-14 18:21:04.370710,23716,1
2022-09-14 18:21:14.371553,23409,1
2022-09-14 18:21:24.372005,23104,1
2022-09-14 18:21:34.372268,24336,2
2022-09-14 18:21:44.372495,23104,1
2022-09-14 18:21:54.373062,24336,2
2022-09-14 18:22:04.373490,27225,2
2022-09-14 18:22:14.373709,26569,2
2022-09-14 18:22:24.374099,28561,2
2022-09-14 18:22:34.374970,27225,2
2022-09-14 18:22:44.375795,22500,1
