DateTime,Distance,Status
2022-09-16 14:12:04.486938,0,0
2022-09-16 14:12:14.487211,0,0
2022-09-16 14:12:24.488089,16900,1
2022-09-16 14:12:34.488466,10609,1
2022-09-16 14:12:44.489075,12100,1
2022-09-16 14:12:54.489195,841,1
2022-09-16 14:13:04.489999,40804,2
2022-09-16 14:13:14.490800,38809,2
2022-09-16 14:13:24.491079,12100,1
2022-09-16 14:13:34.491382,48841,0
2022-09-16 14:13:44.492279,784,1
2022-09-16 14:13:54.492324,784,1
2022-09-16 14:14:04.492816,11881,1
2022-09-16 14:14:14.493295,11664,1
2022-09-16 14:14:24.493659,11664,1
2022-09-16 14:14:34.493875,10609,1
2022-09-16 14:14:44.493925,43681,0
2022-09-16 14:14:54.494148,11449,1
2022-09-16 14:15:04.494808,38025,2
2022-09-16 14:15:14.495169,10404,1
2022-09-16 14:15:24.495519,11236,1
2022-09-16 14:15:34.496014,8836,1
2022-09-16 14:15:44.496284,11025,1
2022-09-16 14:15:54.497149,12100,1
2022-09-16 14:16:04.497519,12100,1
2022-09-16 14:16:14.497661,11236,1
2022-09-16 14:16:24.498330,10816,1
2022-09-16 14:16:34.498475,11025,1
2022-09-16 14:16:44.498479,11025,1
2022-09-16 14:16:54.498525,10816,1
2022-09-16 14:17:04.499197,35721,2
2022-09-16 14:17:14.499250,10201,1
2022-09-16 14:17:24.499764,10201,1
2022-09-16 14:17:34.500551,11664,1
2022-09-16 14:17:44.501324,46656,0
2022-09-16 14:17:54.501876,9801,1
2022-09-16 14:18:04.502210,50176,0
2022-09-16 14:18:14.502509,50176,0
2022-09-16 14:18:24.502670,32400,2
2022-09-16 14:18:34.502920,48400,0
2022-09-16 14:18:44.502972,47089,0
2022-09-16 14:18:54.503883,49284,0
2022-09-16 14:19:04.504176,45369,0
2022-09-16 14:19:14.504437,43681,0
2022-09-16 14:19:24.505089,43681,0
2022-09-16 14:19:34.505306,41209,2
2022-09-16 14:19:44.506104,37249,2
2022-09-16 14:19:54.506898,42849,0
2022-09-16 14:20:04.507373,45369,0
2022-09-16 14:20:14.507690,46225,0
2022-09-16 14:20:24.507769,11449,1
2022-09-16 14:20:34.508242,17956,1
2022-09-16 14:20:44.508852,56169,0
2022-09-16 14:20:54.509849,12996,1
2022-09-16 14:21:04.510614,47089,0
2022-09-16 14:21:14.511508,9604,1
2022-09-16 14:21:24.511931,12769,1
2022-09-16 14:21:34.512533,11449,1
2022-09-16 14:21:44.512643,11664,1
2022-09-16 14:21:54.512995,11664,1
2022-09-16 14:22:04.513090,11025,1
2022-09-16 14:22:14.513225,11881,1
2022-09-16 14:22:24.513920,11881,1
2022-09-16 14:22:34.514378,11236,1
2022-09-16 14:22:44.514392,12544,1
2022-09-16 14:22:54.514709,12100,1
2022-09-16 14:23:04.515266,11881,1
2022-09-16 14:23:14.515845,10816,1
2022-09-16 14:23:24.516156,12321,1
2022-09-16 14:23:34.517118,13225,1
2022-09-16 14:23:44.517451,11025,1
2022-09-16 14:23:54.517641,11025,1
2022-09-16 14:24:04.518414,24964,2
2022-09-16 14:24:14.518812,32761,2
2022-09-16 14:24:24.519588,13225,1
2022-09-16 14:24:34.520026,11664,1
