DateTime,Distance,Status
2022-09-12 16:48:14.028649,0,0
2022-09-12 16:48:24.029035,0,0
2022-09-12 16:48:34.029666,40401,2
2022-09-12 16:48:44.029976,44521,0
2022-09-12 16:48:54.030519,42025,2
2022-09-12 16:49:04.030963,43681,0
2022-09-12 16:49:14.031281,45369,0
2022-09-12 16:49:24.032166,39601,2
2022-09-12 16:49:34.032861,40401,2
2022-09-12 16:49:44.033690,42436,2
2022-09-12 16:49:54.034331,42436,2
2022-09-12 16:50:04.035296,45369,0
2022-09-12 16:50:14.036241,37636,2
2022-09-12 16:50:24.036429,41209,2
2022-09-12 16:50:34.037170,34225,2
2022-09-12 16:50:44.037343,34225,2
2022-09-12 16:50:54.037678,9025,1
2022-09-12 16:51:04.038379,37249,2
2022-09-12 16:51:14.038640,12321,1
2022-09-12 16:51:24.038924,39204,2
2022-09-12 16:51:34.039748,38809,2
2022-09-12 16:51:44.040435,42849,0
2022-09-12 16:51:54.040607,39204,2
2022-09-12 16:52:04.040622,42025,2
2022-09-12 16:52:14.041472,41209,2
2022-09-12 16:52:24.042396,46225,0
2022-09-12 16:52:34.042592,42025,2
2022-09-12 16:52:44.043490,39204,2
2022-09-12 16:52:54.043814,43264,0
2022-09-12 16:53:04.044383,39204,2
2022-09-12 16:53:14.045135,42436,2
2022-09-12 16:53:24.045296,44944,0
2022-09-12 16:53:34.045499,12544,1
2022-09-12 16:53:44.046412,13456,1
2022-09-12 16:53:54.047291,45369,0
2022-09-12 16:54:04.047600,42849,0
2022-09-12 16:54:14.048474,47524,0
2022-09-12 16:54:24.048512,12100,1
2022-09-12 16:54:34.049000,12321,1
2022-09-12 16:54:44.049442,12321,1
2022-09-12 16:54:54.050170,13456,1
2022-09-12 16:55:04.051114,44944,0
2022-09-12 16:55:14.051523,56169,0
2022-09-12 16:55:24.052011,30276,2
2022-09-12 16:55:34.052491,784,1
2022-09-12 16:55:44.053085,35721,2
2022-09-12 16:55:54.053290,35344,2
2022-09-12 16:56:04.053962,35344,2
2022-09-12 16:56:14.054574,37636,2
2022-09-12 16:56:24.055147,36864,2
2022-09-12 16:56:34.055418,36864,2
2022-09-12 16:56:44.055926,36481,2
2022-09-12 16:56:54.056053,38025,2
2022-09-12 16:57:04.056148,34596,2
2022-09-12 16:57:14.056966,30625,2
2022-09-12 16:57:24.057819,38025,2
2022-09-12 16:57:34.058137,38416,2
2022-09-12 16:57:44.058764,37636,2
2022-09-12 16:57:54.059150,35721,2
2022-09-12 16:58:04.060141,50625,0
2022-09-12 16:58:14.060605,46225,0
2022-09-12 16:58:24.060623,47089,0
2022-09-12 16:58:34.061005,45369,0
2022-09-12 16:58:44.061037,11449,1
2022-09-12 16:58:54.061874,11449,1
2022-09-12 16:59:04.062743,49729,0
2022-09-12 16:59:14.063410,49284,0
2022-09-12 16:59:24.064217,46656,0
2022-09-12 16:59:34.064967,51529,0
2022-09-12 16:59:44.065300,51529,0
2022-09-12 16:59:54.065343,42436,2
2022-09-12 17:00:04.065928,45796,0
2022-09-12 17:00:14.066699,12321,1
2022-09-12 17:00:24.067547,11664,1
2022-09-12 17:00:34.067806,10609,1
2022-09-12 17:00:44.068119,12321,1
2022-09-12 17:00:54.068414,44944,0
2022-09-12 17:01:04.069289,42849,0
2022-09-12 17:01:14.070167,43681,0
2022-09-12 17:01:24.070732,13456,1
2022-09-12 17:01:34.071105,13456,1
2022-09-12 17:01:44.071601,13456,1
2022-09-12 17:01:54.072029,13456,1
2022-09-12 17:02:04.072273,10609,1
2022-09-12 17:02:14.072516,11664,1
2022-09-12 17:02:24.073143,29584,2
2022-09-12 17:02:34.073925,25921,2
2022-09-12 17:02:44.074168,11025,1
2022-09-12 17:02:54.074327,11025,1
2022-09-12 17:03:04.074913,26896,2
2022-09-12 17:03:14.075391,24649,2
2022-09-12 17:03:24.076177,24649,2
2022-09-12 17:03:34.076809,10816,1
2022-09-12 17:03:44.077532,23409,1
2022-09-12 17:03:54.078365,24025,1
2022-09-12 17:04:04.079230,10201,1
2022-09-12 17:04:14.079589,24964,2
2022-09-12 17:04:24.080565,22801,1
2022-09-12 17:04:34.081322,23104,1
2022-09-12 17:04:44.081784,10816,1
